Run,SiPMChannel,LED,SiPM,SpeAmpl,SpeCharge,SNR,ThresholdSet,AccWinLow,AccWinUp,BkgTrgRate,ErrBkgTrgRate,BkgTrgRatePreLED,ErrBkgTrgRatePreLED,ThresholdFit,ErrThresholdFit,TauFit,ErrTauFit,MaxEffFit,ErrMaxEffFit,10to90,10to90Fit,fifty
32010,10441,2200,HPK,7.6,148.2,3.42,600,225,256,4393.158388003749,214.36417956636595,7361.134684781084,368.51766959091606,2.193961482961545,0.008976199020482856,0.155712947468982,0.007913949960090066,0.9864260198576361,0.0010979120553490374,0.6631848144487977,0.6631848144487977,2.181409013018428
32011,10441,2800,HPK,7.6,148.2,3.42,600,232,253,3671.705276217203,197.107466667658,6979.980966674361,360.9262234266846,,,,,,,,,
32012,10441,3400,HPK,7.6,148.2,3.42,600,234,251,3849.183981525964,202.5886306066297,7898.689750299097,385.41659517573595,,,,,,,,,
32013,10441,4000,HPK,7.6,148.2,3.42,600,233,250,3725.1908656197356,198.83597862775423,7300.461538922317,369.67323991734185,,,,,,,,,
32020,10441,1400,HPK,7.6,148.2,3.42,650,230,254,5570.51450444703,241.51243310923664,5503.56675449719,318.81306204034263,,,,,,,,,
32021,10441,1800,HPK,7.6,148.2,3.42,650,223,254,4902.75280056948,226.38808982424052,5623.559446886606,322.0040772202288,2.398313648648162,0.006423778389351709,0.1281598582437859,0.0036480948570876415,0.9683334473388423,0.0025617612150365954,0.48081025971618363,0.6181846196350933,2.405824433928808
32022,10441,2200,HPK,7.6,148.2,3.42,650,229,251,3764.5433352356545,281.37517969405434,6009.226611051398,472.12943181789996,2.3820372102223604,0.011148622677108477,0.12345006868396778,0.006856088303891367,0.9826966829682677,0.001602852838613944,0.5486691862572548,0.5486691862572548,2.377651877633698
32023,10441,2800,HPK,7.6,148.2,3.42,650,231,253,3217.456839746969,185.75995725339152,6526.117180463143,351.35433806722193,,,,,,,0.4650734447667739,,
32024,10441,3400,HPK,7.6,148.2,3.42,650,234,252,3185.498996950076,183.91487033924093,6311.468458839038,343.80759450358033,,,,,,,,,
32025,10441,4000,HPK,7.6,148.2,3.42,650,234,250,3235.9092016567856,184.98461657792134,6378.892803265992,344.93101859553434,,,,,,,,,
32032,10441,1400,HPK,7.6,148.2,3.42,700,235,256,5420.667216742302,238.1704439593642,5001.91807869645,303.8448845984469,,,,,,,,,
32033,10441,1800,HPK,7.6,148.2,3.42,700,229,256,4232.927485123507,210.33585779029758,5106.341685563203,306.81033670098543,2.547281671373106,0.006380275945297331,0.11925130954383477,0.00334926549442955,0.9708091520673847,0.002547028661528672,0.41134382493685706,0.617015737405286,2.55380645154034
32034,10441,2200,HPK,7.6,148.2,3.42,700,230,253,3226.487704148677,183.8461993523585,5062.606333209663,305.8432335725233,2.5118308335134474,0.0076074382628052994,0.10765073616614383,0.004346134042818368,0.9856309619642097,0.0010392101262219344,0.3298072052734278,0.5496786754557133,2.512817633365728
32035,10441,2800,HPK,7.6,148.2,3.42,700,233,252,3111.9594081942337,181.4931583411758,5227.438375969316,312.3991950245524,,,,,,,0.46885105960945506,,
32036,10441,3400,HPK,7.6,148.2,3.42,700,235,250,2669.776869471991,167.18791274406274,4838.16164630453,298.9026247255663,,,,,,,,,
32037,10441,4000,HPK,7.6,148.2,3.42,700,234,250,3083.0702446724545,179.80830810964764,4993.949552675292,303.9220912270101,,,,,,,0.0,,
32044,10441,1400,HPK,7.6,148.2,3.42,750,233,256,4467.2150356205475,216.18368769513282,5314.2963428784,313.14791510701554,,,,,,,,,
32045,10441,1800,HPK,7.6,148.2,3.42,750,229,255,4530.6657220001925,217.72989965114095,5130.541649368006,307.7094397930765,2.6371236870903094,0.006332158886727557,0.10631802727366575,0.003204080908224112,0.9674843456896624,0.0026367439523421465,0.48422776437696147,0.48422776437696147,2.6461684363080393
32046,10441,2200,HPK,7.6,148.2,3.42,750,225,252,3151.0289648444827,181.62229012448546,5206.900820134886,310.0664316301179,2.61818022992059,0.007320441543468226,0.10256451592023477,0.004132137204622466,0.984824748935246,0.0010655450585506099,0.4426214604416021,0.4426214604416021,2.6164194070030278
32047,10441,2800,HPK,7.6,148.2,3.42,750,234,251,2491.1370180017757,161.81673806882696,4634.82750284393,293.1322294195471,,,,,,,0.4709869262293629,,
32048,10441,3400,HPK,7.6,148.2,3.42,750,235,251,2507.4788466122077,162.87825390706098,5542.2955150475755,321.59660395775296,,,,,,,,,
32049,10441,4000,HPK,7.6,148.2,3.42,750,234,250,2824.0673799884325,171.86726754824198,5460.687184682212,317.39599556897065,,,,,,,,,
32056,10441,1400,HPK,7.6,148.2,3.42,800,235,255,4511.092221043267,217.29166637388207,4301.34872573744,281.79072425544484,,,,,,,,,
32057,10441,1800,HPK,7.6,148.2,3.42,800,223,252,3796.3759395662382,199.80925997717043,4210.485392175367,279.45973079379417,2.80300171571421,0.006506217762611399,0.11829735589603639,0.0037232065983159104,0.9657668409717414,0.003210988698502004,0.5548719365544876,0.5548719365544876,2.8090731183408013
32058,10441,2200,HPK,7.6,148.2,3.42,800,223,252,3308.0092502117122,187.2791451376303,4394.649882171021,286.6753489381159,2.7896596979945785,0.007368990477427895,0.1312386425327492,0.004613465169598416,0.9849929556246056,0.0011184196664817403,0.5500771580340538,0.5500771580340538,2.789439995517874
32059,10441,2800,HPK,7.6,148.2,3.42,800,231,252,2691.9753120451637,170.25546782010446,4140.300423237462,280.41652828124126,,,,,,,0.6265255979304873,0.4698941984478653,2.7516900282229204
32060,10441,3400,HPK,7.6,148.2,3.42,800,233,251,2530.252620421623,162.65079872865098,4831.634860002089,298.49939852118496,,,,,,,,,
32061,10441,4000,HPK,7.6,148.2,3.42,800,233,251,2258.4919296555045,153.67091155138183,4352.322738747032,283.31207879727646,,,,,,,,,
32068,10441,1400,HPK,7.6,148.2,3.42,850,236,251,4378.990593166642,215.21564634679433,3861.7869798005036,268.4127497687808,,,,,,,,,
32069,10441,1800,HPK,7.6,148.2,3.42,850,224,252,3560.7713921091295,193.1099420694518,3491.1722477149633,253.94541411560223,3.0410670568867384,0.006253116087790778,0.1280927351242858,0.003927338509544277,0.975174966199895,0.0029876096141653874,0.4805581825888554,0.54920935153012,3.0487340424267297
32070,10441,2200,HPK,7.6,148.2,3.42,850,225,251,2997.0035894571893,178.15337136492823,4314.764578973118,283.8906668087737,3.039961572806267,0.006778631518001399,0.13243868902653808,0.004806815720931973,0.9857706329582011,0.0011141874680938857,0.55718490654256,0.55718490654256,3.0407604969052326
32071,10441,2800,HPK,7.6,148.2,3.42,850,231,251,2470.203484477409,160.79655077257513,4596.892751575202,291.31624137334,,,,,,,0.6261477774117652,0.6261477774117652,3.026676054427443
32072,10441,3400,HPK,7.6,148.2,3.42,850,233,251,2404.139440934848,159.56833912853827,4968.893976504977,304.6624370725087,,,,,,,,,
32073,10441,4000,HPK,7.6,148.2,3.42,850,235,251,2234.006293672176,153.79533578378712,4332.456583556206,284.439709753193,,,,,,,0.0,,
32080,10441,1400,HPK,7.6,148.2,3.42,900,235,252,3656.2798471824262,197.4205550877948,4023.49419789575,275.04040111469203,,,,,,,,,
32081,10441,1800,HPK,7.6,148.2,3.42,900,231,252,2931.1897347390536,175.17209151737046,4006.7286452811004,271.99446352555333,3.293070853724593,0.007365326253501836,0.1300218936562838,0.004354698436801474,0.9811773277054496,0.002939116822884058,0.47952921201987664,0.5480333851655734,3.3094039954484034
32082,10441,2200,HPK,7.6,148.2,3.42,900,228,251,2681.8567030326435,167.61604393954022,3732.426553236376,262.612615874326,3.2718651912421843,0.0070212755824818895,0.1344278055758619,0.004374351851830563,0.9847595743068315,0.001172339966682534,0.4424254660475113,0.5530318325593888,3.2768263008020964
32083,10441,2800,HPK,7.6,148.2,3.42,900,229,254,2497.7272853639956,164.69525998368854,3677.5849054753417,265.4068293929866,,,,,,,0.46812139373266426,0.6241618583102189,3.277282458369676
32084,10441,3400,HPK,7.6,148.2,3.42,900,234,251,2007.7741013203122,144.89861473365514,4334.367974635057,282.74299087982376,,,,,,,,,
32085,10441,4000,HPK,7.6,148.2,3.42,900,233,251,2469.931851835839,161.4644962789142,3890.986256664198,269.1451472438741,,,,,,,0.0,,
32092,10441,1400,HPK,7.6,148.2,3.42,950,236,247,3377.6068772226563,189.10967955099545,3342.841195397023,249.85568189365662,,,,,,,,,
32093,10441,1800,HPK,7.6,148.2,3.42,950,228,249,2955.809466157164,176.6434018846232,3109.4184620361975,240.6140245594175,3.477661409357205,0.007606103660351193,0.1176664426348032,0.0039605038951792265,0.9844888411690061,0.002824523638026266,0.6311645254869385,0.4909057420453964,3.4985141530741117
32094,10441,2200,HPK,7.6,148.2,3.42,950,230,251,2699.4556881067106,169.04647246003992,3510.250978463789,256.01136456454833,3.42549379791215,0.00689362021745743,0.11118780054020175,0.003806123768065467,0.9846919794509819,0.0011921448640945798,0.4381206735123033,0.4381206735123033,3.443319519323231
32095,10441,2800,HPK,7.6,148.2,3.42,950,231,251,2419.8657781115076,159.21547902836068,3529.043100887028,255.3525968784275,3.45766695542085,0.015930514438234677,0.13294210415049476,0.009764304867114028,0.9949883311445341,0.0005506781598089705,0.47353898576442877,0.47353898576442877,3.451442943292729
32096,10441,3400,HPK,7.6,148.2,3.42,950,233,251,2260.2706699241353,153.7919394970231,3580.57459289236,257.0702741506456,,,,,,,,,
32097,10441,4000,HPK,7.6,148.2,3.42,950,234,252,1983.0917193140795,144.24869704439507,3312.6711485071583,247.600666714111,,,,,,,,,
32104,10441,1400,HPK,7.6,148.2,3.42,1000,235,247,3149.610913182074,181.54055498548325,2879.1169526835583,230.51384111107333,,,,,,,,,
32105,10441,1800,HPK,7.6,148.2,3.42,1000,234,251,2961.4116220006827,176.97819473152933,3507.057542904745,255.77845933921378,3.593018355834816,0.007724897321945479,0.10635972927792627,0.003924841076163539,0.9823500758632765,0.0031511063561013852,0.406636417411387,0.4744091536466186,3.5972333803684906
32106,10441,2200,HPK,7.6,148.2,3.42,1000,230,252,2720.1118764021808,169.6759170003203,3453.5811807379628,253.91233826665479,3.551362661179117,0.007097024616422587,0.11719793778586847,0.0037033203846202553,0.9862772719159574,0.0011432583252665718,0.44549761914039143,0.44549761914039143,3.555032247085728
32107,10441,2800,HPK,7.6,148.2,3.42,1000,230,251,2069.6004313845724,147.45292538985598,3224.1395105178103,244.42138551489953,3.523368602261966,0.014588144613518539,0.11195594662206253,0.009024055249786993,0.9940776217251043,0.0005978580291498559,0.3131612597008395,0.3131612597008395,3.517512787448588
32108,10441,3400,HPK,7.6,148.2,3.42,1000,234,251,2264.8240566139975,154.8201852288238,3210.653515829866,244.81003549870263,,,,,,,0.3784852466990878,,
32109,10441,4000,HPK,7.6,148.2,3.42,1000,234,251,2311.204888627115,155.46846499307378,3984.228358261814,271.0924026796715,,,,,,,,,
32116,10441,1400,HPK,7.6,148.2,3.42,1050,236,246,3333.9892648509217,187.8490141605304,3024.2170339435133,237.60493027570286,,,,,,,,,
32117,10441,1800,HPK,7.6,148.2,3.42,1050,231,252,2980.037497506456,177.14484188216645,3510.277051123601,255.33508408000432,3.7178589556554087,0.008187565654506068,0.1101050304530999,0.004152272410196438,0.9819458297004198,0.0036382294739202292,0.4109683657963732,0.4109683657963732,3.7238842807392376
32118,10441,2200,HPK,7.6,148.2,3.42,1050,231,250,2562.6757263355203,163.72334652499634,3007.1803348855055,235.5405422297357,3.686614100670125,0.006448953794562007,0.11086891966350679,0.00373240949149925,0.9860464757032632,0.001215873884804708,0.5584807128528655,0.5584807128528655,3.686874997194645
32119,10441,2800,HPK,7.6,148.2,3.42,1050,233,251,2138.0678708264913,150.43393043802422,3192.350188046228,244.12512038748378,3.6663301518619122,0.013906796770853491,0.11508181219032977,0.008335527806276277,0.9945145744762426,0.0005772244275975558,0.4657907134077881,0.4657907134077881,3.6676176360550294
32120,10441,3400,HPK,7.6,148.2,3.42,1050,231,252,2266.5522834365165,154.57758274175805,3607.225637393052,258.9837076341412,,,,,,,0.5641663213150965,,
32121,10441,4000,HPK,7.6,148.2,3.42,1050,233,252,2007.7741013203122,144.89861473365514,3283.053189298043,246.0752402037812,,,,,,,,,
