Run,SiPMChannel,LED,SiPM,SpeAmpl,SpeCharge,SNR,ThresholdSet,AccWinLow,AccWinUp,BkgTrgRate,ErrBkgTrgRate,BkgTrgRatePreLED,ErrBkgTrgRatePreLED,ThresholdFit,ErrThresholdFit,TauFit,ErrTauFit,MaxEffFit,ErrMaxEffFit,10to90,10to90Fit,fifty,ThresholdFitCalibrated
32356,10945,4000,HPK,7.35,128.9,3.46,700,224,250,4165.382863573036,208.79177673108293,6177.139522975982,339.01457429626373,2.513550525703642,0.011467903152812653,0.14312099324902372,0.0072666611160584205,0.9861433545291426,0.0009879001955828137,0.4959468659457529,0.5786046769367115,2.4962616338365775,2.576123749786654
32363,10945,1400,HPK,7.35,128.9,3.46,750,232,256,6386.359792535798,258.78835841176215,5835.228943809392,329.8266406231661,,,,,,,,,,2.741882138189215
32364,10945,1800,HPK,7.35,128.9,3.46,750,224,258,5692.312966139518,244.5057779880067,6030.724356090412,335.5584793480258,2.6455939643505317,0.009347010920968124,0.17088442522785144,0.004660003432408383,0.9760755904811181,0.0043283783285715804,0.5414140054780514,0.5775082725099216,2.648434507602414,2.741882138189215
32365,10945,2200,HPK,7.35,128.9,3.46,750,221,251,5575.180959374551,245.19617823614286,5866.3412802703215,335.3564098431513,2.6215384511806317,0.007297138749307486,0.1300115585837694,0.003701799590611163,0.9590074137515288,0.002825655793165738,0.5299631101470812,0.6263200392647317,2.631830879410489,2.741882138189215
32366,10945,2800,HPK,7.35,128.9,3.46,750,225,253,4297.086194990606,211.95963077504646,6300.999059645591,342.2232928255666,2.648630140784342,0.007460338970775471,0.14549242150184796,0.00405923983993188,0.9751632212929404,0.0015727262500832007,0.6894483937873144,0.6894483937873144,2.650543730030851,2.741882138189215
32367,10945,3400,HPK,7.35,128.9,3.46,750,223,250,4078.188983192959,207.57435388373435,5841.412890146276,331.23613629020014,2.6309491439266486,0.009275855619987894,0.14092967726461628,0.005362876767248406,0.9824942644263227,0.0011437937694054878,0.533192951346555,0.6093633729674912,2.625337520896705,2.741882138189215
32368,10945,4000,HPK,7.35,128.9,3.46,750,226,252,3253.6390540468155,184.49694438880545,6286.416578880021,341.9359840222769,2.6385177350707796,0.010682787431991692,0.14723032178567005,0.006236521648847013,0.9859516754075087,0.0009798139907330472,0.5729524548376386,0.7366531562198211,2.6327853827172762,2.741882138189215
32375,10945,1400,HPK,7.35,128.9,3.46,800,229,250,5989.799748009544,250.44610904077334,5864.1396134359165,330.4068363078269,,,,,,,,,,2.9076405265917757
32376,10945,1800,HPK,7.35,128.9,3.46,800,229,252,5546.866627371129,240.94048972388197,6065.504471355934,335.9372224988499,2.826830904084076,0.009932772619189123,0.16722999458018178,0.00513175680652031,0.9666475454720697,0.006093117684408456,0.629213438672585,0.7402511043206887,2.838897661165616,2.9076405265917757
32377,10945,2200,HPK,7.35,128.9,3.46,800,226,251,4651.3693631405085,223.27287427704067,5639.7555821386195,327.8041347579442,2.840516988896438,0.007421056020444627,0.15666500325274174,0.0041503771227172775,0.9575822903089292,0.0030958570404320263,0.6845838412944643,0.7823815329079595,2.8539550218525593,2.9076405265917757
32378,10945,2800,HPK,7.35,128.9,3.46,800,223,251,3875.248015873016,201.73735363008183,5675.762224994383,325.5272890304748,2.84772060775848,0.0072825561233971214,0.16204799346130228,0.00460405166198663,0.9744556630109255,0.0016642169772851934,0.6920607653457025,0.7549753803771302,2.8548561634472516,2.9076405265917757
32379,10945,3400,HPK,7.35,128.9,3.46,800,226,249,3829.9030795936733,200.19224093561343,5729.73964063073,326.4822162049584,2.8658743191554836,0.008782422204488771,0.16691616968578324,0.005974850332800458,0.9799766035853208,0.001256538376573857,0.6892386124348793,0.7658206804831988,2.866598648654591,2.9076405265917757
32380,10945,4000,HPK,7.35,128.9,3.46,800,225,251,3567.7349164562406,193.4875922006143,5372.589050663514,316.5828458543972,2.8543128345877653,0.010842953912916231,0.18709155147851556,0.007851717464671476,0.9841150762852113,0.0010906445175453694,0.8184243441364201,0.8184243441364201,2.850955923628202,2.9076405265917757
32387,10945,1400,HPK,7.35,128.9,3.46,850,232,255,5251.7994458198755,236.76940438295154,5047.800009351714,309.50047635861137,,,,,,,,,,3.073398914994337
32388,10945,1800,HPK,7.35,128.9,3.46,850,230,252,4829.577385635607,224.69227501157297,5463.764315062505,318.6532058745325,3.1186465712403915,0.011270692818269312,0.19953008791611,0.006327146255465585,0.9844312897665892,0.006092216991565036,,0.9254128338689824,3.1249582716878352,3.073398914994337
32389,10945,2200,HPK,7.35,128.9,3.46,850,225,255,4648.029436514785,220.58571520804952,5062.11814507316,306.93599708077033,3.127474421478447,0.008185909443284789,0.19801620216947777,0.005116720933189281,0.9723162128232009,0.0029142445673039363,,0.9187750352274335,3.1387583359973688,3.073398914994337
32390,10945,2800,HPK,7.35,128.9,3.46,850,224,251,4167.50736590732,212.12053986439426,5393.527091859329,321.7508512605769,3.120454362400608,0.007521722017799659,0.18358511899058522,0.005215387961462717,0.9789738337526532,0.0016443531854500315,0.6954568483716228,0.8219035480755545,3.1695564305622344,3.073398914994337
32391,10945,3400,HPK,7.35,128.9,3.46,850,226,251,3711.189860910542,198.3714422399498,4769.173510147896,299.83536964953146,3.130661227137186,0.008533571905115833,0.17816347318663495,0.006223066125586055,0.9848556348355707,0.0011453217951133965,0.7626145881160795,0.8388760469276875,3.13058730729104,3.073398914994337
32392,10945,4000,HPK,7.35,128.9,3.46,850,227,253,4098.0515527241305,208.58533205416617,5171.519288181516,312.42290580736034,3.129438533892026,0.010251989097612935,0.1989774791460908,0.008022652174707767,0.9871093948535784,0.001028342021303641,0.7432434571966988,0.9084086699070766,3.1320925070255727,3.073398914994337
32399,10945,1400,HPK,7.35,128.9,3.46,900,234,246,4924.275951227624,227.1399120976804,4898.665059755518,302.06462788747166,,,,,,,,,,3.2391573033968974
32400,10945,1800,HPK,7.35,128.9,3.46,900,231,250,4456.214081232915,216.41288683694478,5100.823665310632,308.7158921534591,,,,,,,,0.6633761340067532,3.388779447026971,3.2391573033968974
32401,10945,2200,HPK,7.35,128.9,3.46,900,230,253,4150.452513092676,209.09677685211318,4419.658400856724,287.69525705739323,3.3559363747093394,0.008191668827055354,0.1676369663001757,0.0046745125870413795,0.9728694980813201,0.0029602369419686747,0.6731131552698608,0.7692721774512696,3.365288702724375,3.2391573033968974
32402,10945,2800,HPK,7.35,128.9,3.46,900,224,251,4066.2157666552202,206.4308292639618,4695.0120192307695,295.75795727009097,3.3566746465254633,0.007632215104774742,0.17144010213677172,0.0045359356829954844,0.9806003484471493,0.0015783060930603665,0.6343313120438214,0.6977644432482029,3.364306485004399,3.2391573033968974
32403,10945,3400,HPK,7.35,128.9,3.46,900,229,251,3264.4681227198944,184.81411420264294,4352.624163626526,284.53994289316836,3.3528698257202687,0.008284810985463631,0.16315777532541967,0.0051261423305824505,0.9858190343514005,0.0011082117495712085,0.6180396130523622,0.6180396130523622,3.3540482850176216,3.2391573033968974
32404,10945,4000,HPK,7.35,128.9,3.46,900,230,251,3422.825603455668,189.28268838253553,4894.070723527506,301.78132897926383,3.3553604684263663,0.009288982231231646,0.16273979033485209,0.005850894640500107,0.9860179333244729,0.0010310672646705599,,0.6597742277671301,3.3533022090042692,3.2391573033968974
32415,10945,1400,HPK,7.35,128.9,3.46,950,234,248,4258.616510055608,211.09178331263544,4148.169180419986,277.7819542785459,,,,,,,,,,3.4049156917994585
32416,10945,1800,HPK,7.35,128.9,3.46,950,229,252,4517.3224257285265,217.33977654255818,4275.654970854161,281.92833987588665,,,,,,,,0.588084419182719,3.509208811816104,3.4049156917994585
32417,10945,2200,HPK,7.35,128.9,3.46,950,221,254,3860.861337447567,200.98841306648717,4222.417457877014,280.2516898099667,3.506175514140722,0.008636493188544758,0.1667462346703426,0.0045414426960021514,0.9819463266136185,0.0026170199635454083,,0.5337510489067707,3.5093536597889035,3.4049156917994585
