date,run,ov,vgain,integrator,mask,width,intensity
15/10/2024,30151,"[2.5, 4.5]",2261,0,50,20,2800
15/10/2024,30152,"[2.5, 4.5]",2261,0,50,20,1400
15/10/2024,30153,"[2.5, 4.5]",2261,0,50,20,1800
15/10/2024,30154,"[2.5, 4.5]",2261,0,50,20,2200
15/10/2024,30155,"[2.5, 4.5]",2261,0,50,20,2800
15/10/2024,30156,"[2.5, 4.5]",2261,0,50,20,3400
15/10/2024,30157,"[2.5, 4.5]",2261,0,50,20,4000
15/10/2024,30158,"[2.5, 4.5]",2261,0,1,1,1400
15/10/2024,30159,"[2.5, 4.5]",2261,0,1,1,1500
15/10/2024,30160,"[2.5, 4.5]",2261,0,1,1,1600
15/10/2024,30161,"[2.5, 4.5]",2261,0,1,1,1800
16/10/2024,30236,"[2.5, 4.5]",2261,0,1,1,2000
15/10/2024,30163,"[2.5, 4.5]",2261,0,1,1,2200
15/10/2024,30164,"[3.0, 7.0]",2261,0,50,20,1400
15/10/2024,30165,"[3.0, 7.0]",2261,0,50,20,1800
15/10/2024,30166,"[3.0, 7.0]",2261,0,50,20,2200
15/10/2024,30167,"[3.0, 7.0]",2261,0,50,20,2800
15/10/2024,30168,"[3.0, 7.0]",2261,0,50,20,1400
15/10/2024,30169,"[3.0, 7.0]",2261,0,50,20,1800
15/10/2024,30170,"[3.0, 7.0]",2261,0,50,20,2200
15/10/2024,30171,"[3.0, 7.0]",2261,0,50,20,2800
15/10/2024,30172,"[3.0, 7.0]",2261,0,50,20,3400
15/10/2024,30173,"[3.0, 7.0]",2261,0,50,20,4000
15/10/2024,30174,"[3.0, 7.0]",2261,0,1,1,1400
15/10/2024,30175,"[3.0, 7.0]",2261,0,1,1,1500
15/10/2024,30176,"[3.0, 7.0]",2261,0,1,1,1600
15/10/2024,30177,"[3.0, 7.0]",2261,0,1,1,1800
16/10/2024,30238,"[3.0, 7.0]",2261,0,1,1,2000
15/10/2024,30179,"[3.0, 7.0]",2261,0,1,1,2200
16/10/2024,30239,"[2.0, 3.5]",2128,0,50,20,1400
16/10/2024,30240,"[2.0, 3.5]",2128,0,50,20,1800
16/10/2024,30241,"[2.0, 3.5]",2128,0,50,20,2200
16/10/2024,30242,"[2.0, 3.5]",2128,0,50,20,2800
16/10/2024,30243,"[2.0, 3.5]",2128,0,50,20,3400
16/10/2024,30245,"[2.0, 3.5]",2128,0,50,20,4000
16/10/2024,30248,"[2.0, 3.5]",2128,0,1,1,1400
16/10/2024,30250,"[2.0, 3.5]",2128,0,1,1,1500
16/10/2024,30252,"[2.0, 3.5]",2128,0,1,1,1600
16/10/2024,30254,"[2.0, 3.5]",2128,0,1,1,1800
16/10/2024,30256,"[2.0, 3.5]",2128,0,12,1,2000
