Run,SiPMChannel,LED,SiPM,SpeAmpl,SpeCharge,SNR,ThresholdSet,AccWinLow,AccWinUp,BkgTrgRate,ErrBkgTrgRate,BkgTrgRatePreLED,ErrBkgTrgRatePreLED,ThresholdFit,ErrThresholdFit,TauFit,ErrTauFit,MaxEffFit,ErrMaxEffFit,10to90,10to90Fit,fifty
32064,11121,1600,FBK,6.25,155.3,3.32,800,226,251,3896.634112593117,142.85753772639293,6135.918471203976,239.02144806099454,2.9120432179250866,0.008486159657434378,0.10585633293984209,0.006534998690455193,0.9910566651333219,0.0004931840325304027,0.467618083936729,0.467618083936729,2.9039433624940165
32065,11121,1800,FBK,6.25,155.3,3.32,800,231,249,3624.579100422813,139.0985794638777,6177.9767484869935,242.13399923710193,,,,,,,,,
32074,11121,1400,FBK,6.25,155.3,3.32,850,227,252,5243.3920922244815,169.93931391119412,5786.824886096487,238.03816847018243,3.1405667405994606,0.004973923712591866,0.09931435979232277,0.003030659944283101,0.9673099834686674,0.002745870526615346,0.45689492796473674,0.4568949279647363,3.147294485683837
32075,11121,1500,FBK,6.25,155.3,3.32,850,225,251,4285.611212670088,152.96002336135152,5716.574673489443,235.54735590100356,3.133518791076467,0.004160009728612524,0.09153161378418746,0.002583955475657859,0.9772238757962897,0.0009740516626621232,0.39998839200845016,0.4799860704101402,3.135612599721757
32076,11121,1600,FBK,6.25,155.3,3.32,850,228,251,3424.18236885742,134.72265338915219,5823.583636611999,234.25888913796587,3.145068016719244,0.009023315252246311,0.09944502743651308,0.006261069639506477,0.991083674557171,0.0005006992485652173,0.3453618408084411,0.3453618408084411,3.1335240808521014
32077,11121,1800,FBK,6.25,155.3,3.32,850,231,249,3722.9212817474627,140.41263549911307,6091.304110739645,239.47387517765335,,,,,,,,,
32086,11121,1400,FBK,6.25,155.3,3.32,900,231,248,5226.185048590588,166.43563820716943,5201.4498928501325,221.38840953515341,3.3324738239998073,0.005445454729007038,0.09105126394930882,0.003001557786350584,0.9666014535289352,0.0029222216847982208,0.3667336863914912,0.45841710798936397,3.3387541491474106
32087,11121,1500,FBK,6.25,155.3,3.32,900,224,252,4129.127603002041,147.8464846658276,5213.75884230913,221.51138729991249,3.321736599001683,0.004425478557866569,0.08590015820319463,0.0024439934888861384,0.9787176654388955,0.0009449412367316667,0.3197235107822922,0.39965438847786494,3.3233342608028478
32088,11121,1600,FBK,6.25,155.3,3.32,900,233,250,3450.976703095347,271.13433649727943,5491.266084486424,456.0248269907429,3.3288636642436176,0.01784747422536337,0.09077629155280635,0.011584329351730704,0.99080197320269,0.0010280625366246299,0.3512129256081016,0.4682839008108024,3.3178437800693215
32089,11121,1800,FBK,6.25,155.3,3.32,900,230,251,3334.178979913128,132.83687018111783,5344.094985793739,224.23324445224577,,,,,,,,,
